D_R,poly_id,objectid,geoid,Violent,Property,SqMi,VCDensity,vclag,PCDensity,pclag,TractID,Id2,Total_Pop,PAIProp,OccuProp,OwnerProp,Inc75K_,MandFHH_ch,Unemployment_fixed,ForeignPro,HispProp,SSIProp,BelowProp,BAup,EthnHerter,SameProp,Shape_Leng,Shape_Area,FAC1_1,FAC2_1,FAC3_1,FAC4_1
 ,160.00,160.00,55079003000,100.00,129.00,0.51,197.37,102.63,254.61,111.00,55079003000,55079003000,4298.00,0.07,0.08,0.64,0.22,0.40,0.06,0.04,0.06,0.06,0.18,0.13,0.45,0.86,16157.63,14124570.37,0.14,-0.48,0.83,-0.95
 ,161.00,161.00,55079000700,93.00,99.00,1.51,61.49,90.25,65.45,111.50,55079000700,55079000700,3560.00,0.01,0.10,0.57,0.22,0.29,0.04,0.08,0.02,0.04,0.21,0.20,0.55,0.84,26514.99,42167620.05,-0.21,-0.25,0.50,-0.31
 ,162.00,162.00,55079000800,135.00,123.00,1.17,115.14,105.75,104.91,120.50,55079000800,55079000800,4844.00,0.03,0.11,0.47,0.18,0.29,0.07,0.04,0.05,0.07,0.14,0.25,0.53,0.82,25014.10,32685550.42,-0.01,-0.46,0.30,-0.03
 ,163.00,163.00,55079018700,55.00,65.00,0.19,290.94,65.43,343.84,87.14,55079018700,55079018700,3735.00,0.02,0.09,0.25,0.10,0.36,0.03,0.18,0.63,0.18,0.45,0.03,0.46,0.82,9279.71,5270172.70,0.46,1.80,-0.54,-0.58
 ,164.00,164.00,55079017900,26.00,83.00,0.24,109.85,31.60,350.67,50.80,55079017900,55079017900,2885.00,0.01,0.19,0.42,0.31,0.08,0.06,0.07,0.14,0.03,0.11,0.48,0.25,0.85,12166.55,6598420.57,-1.07,0.01,-0.13,1.36
 ,165.00,165.00,55079019800,31.00,50.00,0.80,38.97,27.33,62.86,46.17,55079019800,55079019800,5707.00,0.02,0.12,0.59,0.32,0.22,0.04,0.09,0.26,0.05,0.15,0.16,0.37,0.90,21763.98,22174258.03,-0.38,0.36,0.88,-0.13
 ,166.00,166.00,55079004500,127.00,71.00,0.27,478.97,113.80,267.77,125.40,55079004500,55079004500,2209.00,0.03,0.14,0.29,0.11,0.32,0.10,0.09,0.10,0.18,0.48,0.05,0.21,0.86,10768.90,7391958.59,1.09,0.11,-0.15,0.58
 ,167.00,167.00,55079120300,0.00,1.00,0.01,0.00,25.50,114.51,46.50,55079120300,55079120300,2102.00,0.02,0.04,0.83,0.36,0.18,0.05,0.03,0.20,0.02,0.10,0.29,0.27,0.82,10933.79,243463.09,-0.94,-0.31,1.15,-1.27
 ,168.00,168.00,55079013500,157.00,81.00,0.10,1605.20,77.00,828.16,64.33,55079013500,55079013500,2082.00,0.06,0.18,0.07,0.09,0.67,0.07,0.06,0.14,0.18,0.49,0.15,0.52,0.82,8095.35,2726687.99,1.72,-0.20,-0.63,1.37
 ,169.00,169.00,55079090700,0.00,0.00,0.01,0.00,4.00,0.00,18.50,55079090700,55079090700,3278.00,0.01,0.16,0.82,0.69,0.10,0.02,0.04,0.03,0.01,0.05,0.80,0.08,0.93,7978.96,147994.24,-1.46,-0.99,1.61,1.72
 ,170.00,170.00,55079014900,84.00,73.00,0.14,610.10,85.83,530.21,70.83,55079014900,55079014900,1440.00,0.06,0.04,0.03,0.01,0.18,0.04,0.09,0.17,0.14,0.62,0.20,0.59,0.60,9600.82,3838349.97,0.62,0.13,-1.96,-0.45
 ,171.00,171.00,55079021700,46.00,100.00,4.90,9.39,14.83,20.42,28.33,55079021700,55079021700,6473.00,0.02,0.08,0.72,0.39,0.18,0.01,0.09,0.19,0.11,0.11,0.23,0.20,0.91,61353.31,136553466.48,-0.29,-0.05,1.43,-0.46
 ,172.00,172.00,55079014300,14.00,53.00,0.10,144.36,28.43,546.52,91.57,55079014300,55079014300,2432.00,0.01,0.17,0.22,0.39,0.00,0.03,0.11,0.06,0.03,0.15,0.68,0.33,0.75,7455.28,2703565.58,-1.35,-0.16,-0.92,1.87
 ,173.00,173.00,55079009200,70.00,85.00,0.16,444.52,73.71,539.77,82.57,55079009200,55079009200,1865.00,0.04,0.10,0.38,0.21,0.33,0.10,0.02,0.10,0.17,0.25,0.18,0.56,0.73,8591.70,4390123.97,0.27,-0.52,-0.27,-0.31
 ,174.00,174.00,55079009600,129.00,63.00,0.40,324.51,80.75,158.48,73.50,55079009600,55079009600,2039.00,0.06,0.06,0.33,0.06,0.68,0.08,0.06,0.18,0.20,0.35,0.08,0.53,0.77,13625.45,11082223.25,1.29,-0.19,-0.12,-0.98
 ,175.00,175.00,55079012800,25.00,33.00,1.05,23.83,1.75,31.46,6.75,55079012800,55079012800,3091.00,0.03,0.12,0.50,0.28,0.17,0.02,0.05,0.11,0.07,0.15,0.32,0.31,0.69,26935.77,29246652.92,-0.56,-0.40,-0.19,0.10
 ,176.00,176.00,55079003400,82.00,142.00,0.79,104.13,64.50,180.33,87.50,55079003400,55079003400,6164.00,0.01,0.08,0.42,0.13,0.36,0.05,0.09,0.05,0.05,0.20,0.26,0.58,0.90,41039.51,21953204.93,-0.11,-0.07,0.24,-0.53
 ,177.00,177.00,55079019400,21.00,19.00,0.50,41.76,23.00,37.78,30.33,55079019400,55079019400,4036.00,0.03,0.10,0.43,0.28,0.21,0.04,0.06,0.13,0.06,0.14,0.24,0.23,0.85,16138.62,14019212.30,-0.44,-0.14,0.28,-0.24
 ,178.00,178.00,55079020300,34.00,83.00,0.56,60.70,30.25,148.17,63.38,55079020300,55079020300,4160.00,0.00,0.12,0.69,0.29,0.24,0.06,0.18,0.47,0.00,0.13,0.17,0.28,0.86,15814.28,15616678.53,-0.88,1.40,0.78,-0.38
 ,179.00,179.00,55079018000,25.00,65.00,1.22,20.56,49.57,53.46,77.86,55079018000,55079018000,2877.00,0.03,0.10,0.33,0.30,0.16,0.04,0.04,0.17,0.05,0.19,0.42,0.22,0.78,32564.38,33896372.06,-0.83,-0.20,-0.47,0.06
 ,180.00,180.00,55079008400,69.00,50.00,0.18,391.40,89.17,283.62,70.17,55079008400,55079008400,1151.00,0.09,0.18,0.21,0.11,0.59,0.18,0.01,0.01,0.17,0.51,0.03,0.09,0.88,8996.71,4914667.04,1.86,-0.67,-0.11,1.22
 ,181.00,181.00,55079016200,78.00,85.00,0.18,435.54,93.00,474.63,114.43,55079016200,55079016200,3181.00,0.02,0.12,0.44,0.17,0.13,0.08,0.23,0.68,0.11,0.28,0.13,0.53,0.93,9153.54,4992629.99,-0.14,2.20,0.37,0.01
 ,182.00,182.00,55079011200,15.00,56.00,0.16,94.69,32.38,353.52,85.25,55079011200,55079011200,2298.00,0.04,0.13,0.24,0.34,0.05,0.02,0.07,0.08,0.10,0.24,0.64,0.33,0.67,10471.20,4416141.63,-0.93,-0.47,-1.19,1.13
 ,183.00,183.00,55079018200,5.00,23.00,0.22,23.18,15.00,106.61,31.00,55079018200,55079018200,1696.00,0.00,0.16,0.67,0.48,0.11,0.06,0.02,0.05,0.03,0.04,0.61,0.06,0.86,12455.49,6014629.29,-1.24,-0.76,0.83,1.16
 ,184.00,184.00,55079018100,11.00,24.00,0.22,49.63,20.25,108.28,53.50,55079018100,55079018100,1663.00,0.03,0.15,0.65,0.40,0.12,0.02,0.04,0.03,0.04,0.04,0.47,0.15,0.88,10793.81,6178874.54,-0.79,-0.65,0.91,0.93
 ,185.00,185.00,55079004600,115.00,89.00,0.26,435.76,128.50,337.24,103.33,55079004600,55079004600,2660.00,0.05,0.08,0.37,0.11,0.37,0.09,0.00,0.01,0.18,0.39,0.07,0.07,0.82,10881.51,7357333.80,1.10,-0.78,0.13,-0.50
 ,186.00,186.00,55079003200,87.00,108.00,0.31,277.16,111.00,344.05,139.50,55079003200,55079003200,2810.00,0.02,0.06,0.71,0.24,0.32,0.06,0.15,0.02,0.05,0.12,0.17,0.52,0.92,12527.11,8751095.12,-0.32,0.09,1.19,-1.10
 ,187.00,187.00,55079020100,66.00,108.00,0.73,89.91,40.57,147.13,85.71,55079020100,55079020100,3785.00,0.04,0.13,0.41,0.21,0.16,0.05,0.14,0.47,0.08,0.18,0.19,0.28,0.93,18376.26,20464381.80,-0.09,1.12,0.49,0.30
 ,188.00,188.00,55079015900,98.00,117.00,0.18,538.36,89.00,642.74,112.50,55079015900,55079015900,3609.00,0.06,0.16,0.26,0.02,0.29,0.06,0.25,0.68,0.12,0.39,0.05,0.64,0.85,9157.41,5074792.46,0.52,2.35,-0.52,0.51
 ,189.00,189.00,55079019100,35.00,66.00,0.60,58.37,27.33,110.06,62.50,55079019100,55079019100,3822.00,0.00,0.07,0.50,0.33,0.23,0.02,0.10,0.31,0.03,0.21,0.31,0.40,0.79,28239.37,16717670.07,-0.68,0.41,0.26,-0.43
 ,190.00,190.00,55079015800,113.00,98.00,0.17,682.86,111.50,592.21,122.33,55079015800,55079015800,2591.00,0.04,0.14,0.22,0.11,0.34,0.10,0.32,0.68,0.08,0.37,0.04,0.65,0.90,8665.01,4613337.98,0.13,2.76,-0.42,0.25
 ,191.00,191.00,55079004200,161.00,122.00,0.27,604.62,146.00,458.16,121.00,55079004200,55079004200,3746.00,0.05,0.04,0.34,0.11,0.49,0.14,0.00,0.01,0.18,0.42,0.07,0.08,0.69,14226.46,7423454.27,0.90,-0.84,-0.49,-1.26
 ,192.00,192.00,55079016700,131.00,125.00,0.19,697.93,112.86,665.97,100.29,55079016700,55079016700,3527.00,0.05,0.14,0.19,0.11,0.54,0.03,0.38,0.74,0.10,0.41,0.05,0.66,0.89,9358.82,5232664.73,0.57,3.12,-0.36,0.39
 ,193.00,193.00,55079017600,88.00,86.00,0.18,483.34,93.67,472.36,90.00,55079017600,55079017600,2666.00,0.06,0.09,0.30,0.04,0.32,0.05,0.28,0.72,0.13,0.41,0.04,0.61,0.89,9184.85,5075657.78,0.40,2.54,-0.30,-0.53
 ,194.00,194.00,55079016800,154.00,134.00,0.20,758.11,129.67,659.65,124.00,55079016800,55079016800,3355.00,0.02,0.12,0.33,0.11,0.36,0.05,0.32,0.77,0.13,0.44,0.02,0.61,0.89,9629.86,5663102.57,0.33,2.92,-0.13,-0.07
 ,195.00,195.00,55079017500,126.00,122.00,0.19,667.92,90.88,646.71,90.88,55079017500,55079017500,3993.00,0.06,0.17,0.37,0.12,0.38,0.06,0.26,0.70,0.15,0.38,0.05,0.69,0.87,9336.45,5259143.26,0.65,2.32,0.01,0.67
 ,196.00,196.00,55079000100,69.00,84.00,2.51,27.49,111.00,33.46,122.67,55079000100,55079000100,3666.00,0.07,0.06,0.46,0.19,0.27,0.03,0.12,0.06,0.14,0.21,0.20,0.58,0.75,37062.94,69983791.31,0.51,-0.30,0.28,-0.50
 ,197.00,197.00,55079006200,183.00,102.00,0.18,1008.40,131.00,562.06,103.43,55079006200,55079006200,2624.00,0.03,0.08,0.30,0.13,0.51,0.08,0.01,0.01,0.20,0.33,0.11,0.11,0.81,9120.18,5059230.28,1.07,-0.79,-0.03,-0.44
 ,198.00,198.00,55079007600,24.00,83.00,0.22,107.38,20.57,371.36,80.29,55079007600,55079007600,3554.00,0.01,0.08,0.22,0.41,0.08,0.02,0.10,0.04,0.03,0.21,0.65,0.23,0.67,10214.71,6230829.40,-1.14,-0.45,-0.92,0.73
 ,199.00,199.00,55079011400,29.00,52.00,0.21,137.17,49.22,245.95,101.89,55079011400,55079011400,1446.00,0.01,0.27,0.34,0.45,0.17,0.01,0.07,0.04,0.01,0.08,0.70,0.34,0.76,11613.62,5894135.22,-1.35,-0.38,-0.60,2.99
 ,200.00,200.00,55079011000,25.00,82.00,0.11,232.81,22.33,763.61,71.83,55079011000,55079011000,2763.00,0.01,0.14,0.13,0.15,0.00,0.02,0.08,0.01,0.07,0.17,0.60,0.32,0.70,8251.71,2993682.68,-0.99,-0.29,-1.49,1.11
 ,201.00,201.00,55079005400,37.00,84.00,0.52,71.54,25.50,162.41,62.00,55079005400,55079005400,3701.00,0.02,0.06,0.66,0.29,0.17,0.03,0.05,0.05,0.03,0.14,0.33,0.44,0.87,16075.65,14418740.79,-0.69,-0.47,0.81,-0.72
 ,202.00,202.00,55079006300,150.00,113.00,0.34,446.28,139.71,336.19,101.29,55079006300,55079006300,2320.00,0.06,0.05,0.24,0.06,0.34,0.11,0.00,0.03,0.22,0.33,0.05,0.12,0.74,12336.63,9370301.90,1.10,-0.77,-0.48,-0.89
 ,203.00,203.00,55079008900,93.00,54.00,0.23,403.58,144.29,234.34,106.43,55079008900,55079008900,1058.00,0.03,0.07,0.31,0.11,0.41,0.07,0.03,0.05,0.39,0.56,0.07,0.31,0.61,12062.51,6424217.31,1.76,-0.76,-0.70,-0.35
 ,204.00,204.00,55079004900,133.00,167.00,0.38,348.69,107.29,437.83,103.00,55079004900,55079004900,4396.00,0.01,0.09,0.49,0.26,0.34,0.07,0.01,0.06,0.08,0.16,0.27,0.48,0.88,13317.43,10633447.35,-0.26,-0.60,0.47,-0.46
 ,205.00,205.00,55079004800,209.00,174.00,0.38,544.25,125.63,453.11,102.50,55079004800,55079004800,4014.00,0.07,0.08,0.39,0.05,0.36,0.09,0.02,0.02,0.13,0.33,0.07,0.19,0.80,13364.50,10705733.55,1.01,-0.67,0.05,-0.58
 ,206.00,206.00,55079100400,0.00,0.00,0.00,0.00,7.00,0.00,26.00,55079100400,55079100400,2708.00,0.00,0.07,0.42,0.29,0.30,0.01,0.02,0.17,0.09,0.16,0.25,0.22,0.90,942.24,26.73,-0.34,-0.27,0.47,-0.69
 ,207.00,207.00,55079100700,0.00,0.00,0.00,0.00,25.00,0.00,33.00,55079100700,55079100700,3131.00,0.00,0.06,0.86,0.36,0.12,0.02,0.06,0.15,0.06,0.06,0.22,0.27,0.97,1244.85,9.12,-0.84,-0.13,1.73,-1.16
 ,208.00,208.00,55079020800,9.00,26.00,0.35,25.96,13.25,75.00,28.50,55079020800,55079020800,3329.00,0.01,0.17,0.57,0.41,0.07,0.03,0.03,0.07,0.03,0.06,0.50,0.25,0.79,14688.96,9664180.01,-1.18,-0.53,0.23,1.09
 ,209.00,209.00,55079020900,14.00,20.00,0.39,35.84,14.43,51.21,37.29,55079020900,55079020900,2836.00,0.01,0.09,0.74,0.32,0.22,0.06,0.04,0.17,0.03,0.12,0.37,0.22,0.94,14129.52,10888841.70,-0.86,-0.21,1.16,-0.53
 ,210.00,210.00,55079120500,0.00,0.00,0.00,0.00,12.00,0.00,13.00,55079120500,55079120500,5374.00,0.01,0.20,0.55,0.28,0.22,0.04,0.12,0.09,0.03,0.11,0.30,0.24,0.84,869.81,6900.69,-0.21,0.08,0.64,1.41
 ,211.00,211.00,55079186500,80.00,167.00,0.48,167.74,92.60,350.15,125.80,55079186500,55079186500,1693.00,0.08,0.14,0.31,0.18,0.33,0.02,0.21,0.50,0.04,0.32,0.28,0.62,0.87,16481.37,13296297.44,0.07,1.43,-0.21,0.63
 ,212.00,212.00,55079186600,84.00,70.00,0.39,213.04,58.25,177.53,81.88,55079186600,55079186600,2266.00,0.05,0.09,0.31,0.13,0.39,0.07,0.13,0.56,0.15,0.42,0.10,0.48,0.84,15231.05,10992234.35,0.51,1.27,-0.25,-0.45
 ,213.00,213.00,55079185300,0.00,0.00,0.00,0.00,12.50,0.00,17.00,55079185300,55079185300,3701.00,0.02,0.14,0.59,0.43,0.07,0.01,0.06,0.02,0.02,0.09,0.50,0.26,0.80,429.93,9918.11,-0.79,-0.67,0.66,1.07
 ,214.00,214.00,55079186800,68.00,143.00,2.20,30.86,65.21,64.90,94.71,55079186800,55079186800,1560.00,0.02,0.22,0.04,0.02,0.27,0.09,0.24,0.44,0.21,0.49,0.06,0.69,0.71,46394.37,61422836.91,1.02,1.79,-1.39,1.91
 ,215.00,215.00,55079018400,13.00,52.00,0.28,46.07,33.00,184.26,64.17,55079018400,55079018400,1471.00,0.03,0.13,0.56,0.41,0.09,0.03,0.07,0.11,0.02,0.14,0.35,0.17,0.87,12505.25,7867502.19,-0.91,-0.17,0.56,0.52
 ,216.00,216.00,55079003700,51.00,65.00,0.25,207.92,108.40,265.00,129.80,55079003700,55079003700,2202.00,0.01,0.08,0.61,0.24,0.31,0.07,0.04,0.02,0.10,0.21,0.22,0.40,0.82,10801.30,6838038.36,-0.38,-0.47,0.39,-0.80
 ,217.00,217.00,55079011300,25.00,74.00,0.18,136.38,45.86,403.67,114.00,55079011300,55079011300,2052.00,0.01,0.15,0.25,0.34,0.00,0.02,0.10,0.05,0.11,0.23,0.67,0.30,0.70,10154.30,5110535.41,-0.60,-0.42,-0.76,1.91
 ,218.00,218.00,55079020000,75.00,213.00,0.54,138.88,27.71,394.42,52.57,55079020000,55079020000,3493.00,0.01,0.14,0.43,0.17,0.24,0.07,0.17,0.31,0.09,0.27,0.15,0.47,0.85,22549.15,15055209.36,-0.19,1.06,-0.04,0.19
 ,219.00,219.00,55079120400,2.00,0.00,0.01,149.37,35.00,0.00,73.50,55079120400,55079120400,6810.00,0.01,0.05,0.55,0.33,0.11,0.04,0.06,0.15,0.07,0.12,0.23,0.26,0.85,11124.92,373289.19,-0.79,-0.08,0.56,-0.93
 ,220.00,220.00,55079020700,23.00,48.00,0.68,33.64,14.00,70.20,32.67,55079020700,55079020700,4321.00,0.02,0.08,0.68,0.36,0.14,0.03,0.04,0.12,0.03,0.12,0.34,0.19,0.87,23776.34,19063344.75,-0.92,-0.37,0.85,-0.57
 ,221.00,221.00,55079003800,71.00,84.00,0.25,279.23,111.13,330.35,121.63,55079003800,55079003800,2284.00,0.10,0.08,0.40,0.16,0.34,0.06,0.02,0.08,0.05,0.27,0.21,0.28,0.87,10650.10,7088713.41,0.48,-0.62,0.28,-0.49
 ,222.00,222.00,55079019900,16.00,27.00,0.52,30.48,8.25,51.43,12.75,55079019900,55079019900,4009.00,0.02,0.09,0.72,0.28,0.26,0.01,0.11,0.24,0.04,0.10,0.21,0.35,0.90,35169.80,14635955.41,-0.50,0.35,1.18,-0.62
 ,223.00,223.00,55079186400,16.00,11.00,0.30,53.82,72.00,37.00,104.67,55079186400,55079186400,1460.00,0.06,0.14,0.00,0.06,0.00,0.04,0.07,0.11,0.16,0.59,0.58,0.39,0.39,18616.28,8288552.57,0.70,-0.55,-2.52,2.09
 ,224.00,224.00,55079186300,120.00,293.00,0.48,250.71,39.44,612.15,85.67,55079186300,55079186300,3576.00,0.01,0.17,0.15,0.43,0.19,0.01,0.04,0.07,0.01,0.16,0.30,0.57,0.29,17020.65,13343646.93,-0.49,-0.74,-1.72,1.45
 ,225.00,225.00,55079186200,44.00,51.00,0.21,214.49,62.63,248.62,78.88,55079186200,55079186200,1506.00,0.04,0.07,0.40,0.06,0.46,0.10,0.08,0.05,0.25,0.45,0.08,0.30,0.80,9738.77,5718835.16,1.62,-0.37,0.22,-0.39
 ,226.00,226.00,55079186900,5.00,50.00,0.17,30.26,17.20,302.62,67.20,55079186900,55079186900,2353.00,0.03,0.24,0.19,0.37,0.03,0.02,0.15,0.02,0.03,0.10,0.72,0.26,0.70,19202.74,4606121.32,-0.62,-0.23,-0.72,3.41
 ,227.00,227.00,55079187000,19.00,98.00,0.14,137.00,19.83,706.62,73.67,55079187000,55079187000,3466.00,0.01,0.14,0.17,0.32,0.00,0.01,0.10,0.06,0.02,0.15,0.68,0.31,0.66,15302.93,3866394.72,-1.50,-0.16,-1.44,1.32
 ,228.00,228.00,55079000200,106.00,128.00,3.04,34.83,72.43,42.06,72.29,55079000200,55079000200,6757.00,0.03,0.09,0.54,0.38,0.21,0.08,0.08,0.07,0.09,0.12,0.29,0.58,0.85,42446.91,84833969.55,-0.52,-0.31,0.62,-0.23
 ,229.00,229.00,55079010600,26.00,37.00,0.11,231.60,47.83,329.59,74.67,55079010600,55079010600,1314.00,0.05,0.08,0.36,0.19,0.38,0.07,0.10,0.21,0.10,0.26,0.25,0.67,0.63,7729.64,3129649.50,-0.08,0.07,-0.75,-0.45
 ,230.00,230.00,55079008000,28.00,109.00,0.13,222.46,46.33,866.00,74.50,55079008000,55079008000,1964.00,0.03,0.10,0.25,0.15,0.39,0.05,0.02,0.04,0.05,0.28,0.37,0.57,0.73,7952.32,3508913.83,-0.53,-0.47,-1.09,-0.29
 ,231.00,231.00,55079007900,22.00,84.00,0.21,103.45,32.00,394.97,99.75,55079007900,55079007900,2223.00,0.01,0.11,0.27,0.24,0.29,0.05,0.03,0.10,0.01,0.15,0.51,0.38,0.63,11916.85,5928941.61,-1.01,-0.46,-1.15,0.20
 ,232.00,232.00,55079160100,4.00,16.00,0.06,72.03,46.00,288.11,100.00,55079160100,55079160100,6672.00,0.02,0.07,0.63,0.36,0.09,0.03,0.07,0.11,0.05,0.14,0.24,0.23,0.88,10268.33,1548218.90,-0.67,-0.18,0.89,-0.62
 ,233.00,233.00,55079005200,18.00,44.00,0.26,68.51,75.40,167.47,107.60,55079005200,55079005200,1584.00,0.02,0.12,0.63,0.27,0.25,0.03,0.04,0.06,0.08,0.05,0.23,0.54,0.87,10827.90,7324680.67,-0.20,-0.50,0.98,-0.05
 ,234.00,234.00,55079014800,68.00,60.00,0.13,514.70,62.67,454.14,48.17,55079014800,55079014800,2077.00,0.04,0.11,0.05,0.10,0.29,0.05,0.12,0.12,0.11,0.49,0.37,0.68,0.59,8612.75,3683197.27,0.47,0.01,-1.75,0.81
 ,235.00,235.00,55079080400,0.00,0.00,0.02,0.00,59.67,0.00,142.33,55079080400,55079080400,3240.00,0.02,0.18,0.29,0.26,0.19,0.03,0.23,0.07,0.11,0.30,0.59,0.41,0.69,7117.01,645913.58,-0.31,0.40,-0.85,1.99
 ,236.00,236.00,55079007700,31.00,104.00,0.27,113.36,26.38,380.30,90.38,55079007700,55079007700,3396.00,0.01,0.19,0.15,0.20,0.00,0.03,0.04,0.07,0.01,0.27,0.67,0.20,0.48,11686.66,7623901.07,-1.41,-0.39,-2.41,1.81
 ,237.00,237.00,55079017400,82.00,83.00,0.13,650.45,104.83,658.38,118.33,55079017400,55079017400,3169.00,0.04,0.07,0.30,0.10,0.40,0.06,0.31,0.75,0.15,0.41,0.05,0.58,0.85,8185.36,3514516.42,0.50,2.66,-0.18,-0.67
 ,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
